observable,cellline,time_m_or_h,date,ligand,replicate,value,time_minutes
surface_TCR_sek,shCTRL,60,12042026,1,Probe_2,3993,60
surface_TCR_sek,shCTRL,90,12042026,1,Probe_2,3530,90
surface_TCR_sek,shCTRL,120,12042026,1,Probe_2,2988,120
surface_TCR_sek,shCTRL,0,12042026,1,Probe_3,9542,0
surface_TCR_sek,shCTRL,5,12042026,1,Probe_3,7544,5
surface_TCR_sek,shCTRL,10,12042026,1,Probe_3,4950,10
surface_TCR_sek,shCTRL,30,12042026,1,Probe_3,4454,30
surface_TCR_sek,shCTRL,60,12042026,1,Probe_3,3853,60
surface_TCR_sek,shCTRL,90,12042026,1,Probe_3,3645,90
surface_TCR_sek,shCTRL,120,12042026,1,Probe_3,2749,120
surface_TCR_sek,shSDP2,0,12042026,1,Probe_1,13210,0
surface_TCR_sek,shSDP2,5,12042026,1,Probe_1,10350,5
surface_TCR_sek,shSDP2,10,12042026,1,Probe_1,7967,10
surface_TCR_sek,shSDP2,30,12042026,1,Probe_1,7762,30
surface_TCR_sek,shSDP2,60,12042026,1,Probe_1,6748,60
surface_TCR_sek,shSDP2,90,12042026,1,Probe_1,6507,90
surface_TCR_sek,shSDP2,120,12042026,1,Probe_1,4961,120
surface_TCR_sek,shSDP2,0,12042026,1,Probe_2,14467,0
surface_TCR_sek,shSDP2,5,12042026,1,Probe_2,10641,5
surface_TCR_sek,shSDP2,10,12042026,1,Probe_2,8293,10
surface_TCR_sek,shSDP2,30,12042026,1,Probe_2,7502,30
surface_TCR_sek,shSDP2,60,12042026,1,Probe_2,6674,60
surface_TCR_sek,shSDP2,90,12042026,1,Probe_2,6193,90
surface_TCR_sek,shSDP2,120,12042026,1,Probe_2,5038,120
surface_TCR_sek,shSDP2,0,12042026,1,Probe_3,14446,0
surface_TCR_sek,shSDP2,5,12042026,1,Probe_3,9637,5
surface_TCR_sek,shSDP2,10,12042026,1,Probe_3,7792,10
surface_TCR_sek,shSDP2,30,12042026,1,Probe_3,7059,30
surface_TCR_sek,shSDP2,60,12042026,1,Probe_3,6832,60
surface_TCR_sek,shSDP2,90,12042026,1,Probe_3,6390,90
surface_TCR_sek,shSDP2,120,12042026,1,Probe_3,5023,120
